GoID,GoPowerID_0,GoPowerID_1,GoPowerID_2,GoPowerID_3,GoPowerID_4,TS_Index,TSPower_0,TSPower_1,TSPower_2,TSPower_3,TSPower_4
SoldierN7,SFXPowerCustomAction_DevestatorMode,SFXPowerCustomAction_MissileLauncher,SFXPowerCustomAction_MultiFragGrenade,SFXPowerCustomActionMP_HumanPassive,SFXPowerCustomActionMP_HumanMeleePassive_Soldier,378,ue,Ke,Te,ev,Fo
AdeptAsari,SFXPowerCustomActionMP_Stasis,SFXPowerCustomActionMP_Warp,SFXPowerCustomActionMP_Throw,SFXPowerCustomActionMP_AsariPassive,SFXPowerCustomActionMP_AsariMeleePassive,217,Qc,fb,nc,Hd,Ga
AdeptAsariCommando,SFXPowerCustomActionMP_BubbleShield,SFXPowerCustomActionMP_Reave_Asari,SFXPowerCustomActionMP_Pull_Asari,SFXPowerCustomActionMP_AsariCommandoPassive,SFXPowerCustomActionMP_AsariMeleePassive_Commando,273,ke,sv,Mc2,Zu,Ga6
VanguardAsari,SFXPowerCustomActionMP_BioticCharge,SFXPowerCustomActionMP_Stasis,SFXPowerCustomActionMP_LiftGrenade,SFXPowerCustomActionMP_AsariPassive,SFXPowerCustomActionMP_AsariMeleePassive,228,lb,Qc,wd,Hd,Ga
SentinelAsari,SFXPowerCustomActionMP_TechArmor,SFXPowerCustomActionMP_Warp,SFXPowerCustomActionMP_AnnihilationSphere_Shared,SFXPowerCustomActionMP_AsariPassive_Sentinel,SFXPowerCustomActionMP_AsariMeleePassive,511,Gb,fb,bd2,Hd2,Ga
InfiltratorAsari,SFXPowerCustomActionMP_AsariCloak,SFXPowerCustomActionMP_DarkChannel2_Shared,SFXPowerCustomActionMP_Warp,SFXPowerCustomActionMP_AsariPassive_Infiltrator,SFXPowerCustomActionMP_AsariMeleePassive,510,Uz,yc3,fb,Hd3,Ga
SoldierBatarian,SFXPowerCustomActionMP_BatarianAttack,SFXPowerCustomActionMP_BatarianArmor,SFXPowerCustomActionMP_InfernoGrenade_Batarian,SFXPowerCustomActionMP_BatarianPassive,SFXPowerCustomActionMP_BatarianMeleePassive,240,fe,tc,td2,Id,ac3
AdeptBatarian,SFXPowerCustomActionMP_Lash_Shared,SFXPowerCustomActionMP_Warp,SFXPowerCustomActionMP_BioticGrenade,SFXPowerCustomActionMP_BatarianPassive_Shared,SFXPowerCustomActionMP_BatarianMeleePassive_Shared,508,hc2,fb,Yb,Id2,ac4
SentinelBatarian,SFXPowerCustomActionMP_BatarianArmor,SFXPowerCustomActionMP_Shockwave_Batarian,SFXPowerCustomActionMP_BatarianNet,SFXPowerCustomActionMP_BatarianPassive,SFXPowerCustomActionMP_BatarianMeleePassive,267,tc,Fb2,Sd2,Id,ac3
VanguardBatarian,SFXPowerCustomActionMP_BioticCharge,SFXPowerCustomActionMP_Lash_Shared,SFXPowerCustomActionMP_BatarianArmor_Shared,SFXPowerCustomActionMP_BatarianPassive_Shared,SFXPowerCustomActionMP_BatarianMeleePassive_Shared,513,lb,hc2,tc2,Id2,ac4
SoldierHumanMaleBF3,SFXPowerCustomActionMP_AdrenalineRush,SFXPowerCustomActionMP_Carnage,SFXPowerCustomActionMP_FragGrenade,SFXPowerCustomActionMP_HumanPassive,SFXPowerCustomActionMP_HumanMeleePassive_Soldier,268,sc,Xb,Cc,ab,Za
AdeptHumanMaleCerberus,SFXPowerCustomActionMP_Singularity,SFXPowerCustomAction_WhipSmash,SFXPowerCustomActionMP_Lash,SFXPowerCustomActionMP_WhipManPassive,SFXPowerCustomActionMP_WhipManMeleePassive,282,Pc,Pd,hc,zh,Ga7
VanguardHumanMaleCerberus,SFXPowerCustomActionMP_BioticCharge,SFXPowerCustomAction_WhipSmash,SFXPowerCustomActionMP_Lash,SFXPowerCustomActionMP_WhipManPassive,SFXPowerCustomActionMP_WhipManMeleePassive,283,lb,Pd,hc,zh,Ga7
AdeptCollector,SFXPowerCustomAction_DarkSingularity,SFXPowerCustomActionMP_SeekerSwarm,SFXPowerCustomActionMP_DarkChannelProthean,SFXPowerCustomActionMP_CollectorPassive,SFXPowerCustomActionMP_ProtheanMeleePassive,577,nf,re,lv,Bo,yc
AdeptDrell,SFXPowerCustomActionMP_Reave,SFXPowerCustomActionMP_Pull,SFXPowerCustomActionMP_BioticGrenade,SFXPowerCustomActionMP_DrellPassive,SFXPowerCustomActionMP_DrellMeleePassive,218,tv,Mc,Yb,cf,Be
InfiltratorDrell,SFXPowerCustomActionMP_Cloak,SFXPowerCustomActionMP_HomingGrenade_Shared,SFXPowerCustomActionMP_ReconMine,SFXPowerCustomActionMP_DrellPassive,SFXPowerCustomActionMP_DrellMeleePassive,504,bb,Gc2,Kd,cf,Be
VanguardDrell,SFXPowerCustomActionMP_BioticCharge,SFXPowerCustomActionMP_Pull,SFXPowerCustomActionMP_BioticGrenade,SFXPowerCustomActionMP_DrellPassive,SFXPowerCustomActionMP_DrellMeleePassive,227,lb,Mc,Yb,cf,Be
InfiltratorFembot,SFXPowerCustomActionMP_FembotCloak,SFXPowerCustomActionMP_SnapFreeze,SFXPowerCustomActionMP_RepairMatrix,SFXPowerCustomActionMP_FembotPassive,SFXPowerCustomActionMP_FembotMeleePassive,602,Sz,Qd1,kf,kv,Co
EngineerGeth,SFXPowerCustomActionMP_GethSentryTurret,SFXPowerCustomActionMP_Supercharge,SFXPowerCustomActionMP_Overload_Geth,SFXPowerCustomActionMP_GethPassive,SFXPowerCustomActionMP_GethMeleePassive,238,od2,Hc3,Rb2,df2,Ce2
InfiltratorGeth,SFXPowerCustomActionMP_Cloak_Geth,SFXPowerCustomActionMP_ProximityMine_Geth,SFXPowerCustomActionMP_Supercharge,SFXPowerCustomActionMP_GethPassive,SFXPowerCustomActionMP_GethMeleePassive,239,bb2,lc2,Hc3,df2,Ce2
SoldierGeth,SFXPowerCustomActionMP_Flamer_Shared,SFXPowerCustomActionMP_Fortification,SFXPowerCustomActionMP_Supercharge_Shared,SFXPowerCustomActionMP_GethPassive_Shared,SFXPowerCustomActionMP_GethMeleePassive_Shared,506,Bc2,ld,Hc,df,Ce
SoldierGethDestroyer,SFXPowerCustomActionMP_HexShield,SFXPowerCustomActionMP_SiegePulse,SFXPowerCustomActionMP_GethSentryTurret_MP5,SFXPowerCustomActionMP_GethDestroyerPassive,SFXPowerCustomActionMP_GethDestroyerMeleePassive,576,Le,rf,od,av,Do
SoldierKrogan,SFXPowerCustomActionMP_Fortification,SFXPowerCustomActionMP_Carnage,SFXPowerCustomActionMP_InfernoGrenade,SFXPowerCustomActionMP_KroganPassive,SFXPowerCustomActionMP_KroganMeleePassive,225,ld,Xb,td,ef,kd
AdeptKrogan,SFXPowerCustomActionMP_Barrier_Shared,SFXPowerCustomActionMP_Warp,SFXPowerCustomActionMP_Shockwave,SFXPowerCustomActionMP_KroganPassive,SFXPowerCustomActionMP_KroganMeleePassive,514,rb,fb,Fb,ef,kd
SentinelKrogan,SFXPowerCustomActionMP_TechArmor_Krogan,SFXPowerCustomActionMP_Incinerate,SFXPowerCustomActionMP_LiftGrenade,SFXPowerCustomActionMP_KroganPassive,SFXPowerCustomActionMP_KroganMeleePassive,224,Gb3,tb,wd,ef,kd
VanguardKrogan,SFXPowerCustomActionMP_BioticCharge_Krogan,SFXPowerCustomActionMP_Carnage_KroganVanguard,SFXPowerCustomActionMP_Barrier_KroganVanguard,SFXPowerCustomActionMP_KroganPassive_Vanguard,SFXPowerCustomActionMP_KroganMeleePassive_Vanguard,272,Kk,Xb2,rb2,bv,kd2
SentinelKroganWarlord,SFXPowerCustomActionMP_TechArmor_Warlord,SFXPowerCustomActionMP_BioticHammerModal,SFXPowerCustomActionMP_TechHammerModal,SFXPowerCustomActionMP_WarlordPassive,SFXPowerCustomActionMP_WarlordMeleePassive,583,Gb4,ie,ze,cv,Eo
EngineerMerc,SFXPowerCustomActionMP_CainMine,SFXPowerCustomActionMP_MercBowModalOne,SFXPowerCustomActionMP_MercBowModalTwo,SFXPowerCustomActionMP_MercPassive,SFXPowerCustomActionMP_MercMeleePassive,584,le,me,ae,$u,Io
EngineerQuarian,SFXPowerCustomActionMP_SentryTurret,SFXPowerCustomActionMP_Incinerate,SFXPowerCustomActionMP_CryoBlast,SFXPowerCustomActionMP_FemQuarianPassive,SFXPowerCustomActionMP_FemQuarianMeleePassive,219,Md,tb,Zb,Ah,Ga2
InfiltratorQuarian,SFXPowerCustomActionMP_Cloak,SFXPowerCustomActionMP_StickyGrenade,SFXPowerCustomActionMP_AIHacking,SFXPowerCustomActionMP_FemQuarianPassive,SFXPowerCustomActionMP_FemQuarianMeleePassive,222,bb,Rc,Nc,Ah,Ga2
EngineerQuarianMale,SFXPowerCustomActionMP_Damping,SFXPowerCustomActionMP_Incinerate,SFXPowerCustomAction_EMPGrenade,SFXPowerCustomActionMP_MaleQuarianPassive,SFXPowerCustomActionMP_MaleQuarianMeleePassive,280,Sc2,tb,Of,Bh,bc3
InfiltratorQuarianMale,SFXPowerCustomActionMP_Cloak,SFXPowerCustomActionMP_Damping,SFXPowerCustomAction_EMPGrenade,SFXPowerCustomActionMP_MaleQuarianPassive,SFXPowerCustomActionMP_MaleQuarianMeleePassive,281,bb,Sc2,Of,Bh,bc3
SoldierMQuarian,SFXPowerCustomActionMP_Marksman,SFXPowerCustomActionMP_Damping_Shared,SFXPowerCustomActionMP_AIHacking,SFXPowerCustomActionMP_MaleQuarianPassive_Shared,SFXPowerCustomActionMP_MaleQuarianMeleePassive_Shared,512,yd,Sc,Nc,jv,bc2
EngineerSalarian,SFXPowerCustomActionMP_EnergyDrain,SFXPowerCustomActionMP_Decoy,SFXPowerCustomActionMP_Incinerate,SFXPowerCustomActionMP_SalarianPassive,SFXPowerCustomActionMP_SalarianMeleePassive,220,Ac,jd,tb,Ch,Ga3
InfiltratorSalarian,SFXPowerCustomActionMP_Cloak,SFXPowerCustomActionMP_ProximityMine,SFXPowerCustomActionMP_EnergyDrain,SFXPowerCustomActionMP_SalarianPassive,SFXPowerCustomActionMP_SalarianMeleePassive,221,bb,lc,Ac,Ch,Ga3
SoldierTurian,SFXPowerCustomActionMP_Marksman,SFXPowerCustomActionMP_ConcussiveShot,SFXPowerCustomActionMP_ProximityMine,SFXPowerCustomActionMP_TurianPassive,SFXPowerCustomActionMP_TurianMeleePassive,226,yd,wc,lc,ff,ac
EngineerTurian,SFXPowerCustomActionMP_SentryTurret,SFXPowerCustomActionMP_AIHacking,SFXPowerCustomActionMP_HomingGrenade_Shared,SFXPowerCustomActionMP_N7TurianPassive,SFXPowerCustomActionMP_N7TurianMeleePassive,503,Md,Nc,Gc2,bf,De
SentinelTurian,SFXPowerCustomActionMP_TechArmor_Turian,SFXPowerCustomActionMP_Warp,SFXPowerCustomActionMP_Overload,SFXPowerCustomActionMP_TurianPassive,SFXPowerCustomActionMP_TurianMeleePassive,223,Gb2,fb,Rb,ff,ac
N7SoldierTurian,SFXPowerCustomActionMP_JetPackCharge,SFXPowerCustomActionMP_StimPack,SFXPowerCustomActionMP_CryoBlast,SFXPowerCustomActionMP_N7TurianPassive,SFXPowerCustomActionMP_N7TurianMeleePassive,480,Je,Rd,Zb,bf,De
N7InfiltratorTurian,SFXPowerCustomActionMP_TurianCloak,SFXPowerCustomActionMP_StimPack,SFXPowerCustomActionMP_Overload,SFXPowerCustomActionMP_N7TurianPassive,SFXPowerCustomActionMP_N7TurianMeleePassive,481,Tz,Rd,Rb,bf,De
VanguardTurianFemale,SFXPowerCustomActionMP_LineStrike,SFXPowerCustomActionMP_VenomTippedBlades,SFXPowerCustomActionMP_BioticFocus,SFXPowerCustomActionMP_FemTurianPassive,SFXPowerCustomActionMP_FemTurianMeleePassive,592,Ye,Ue,he,ff2,Jo
AdeptVolus,SFXPowerCustomActionMP_Stasis,SFXPowerCustomActionMP_BioticOrbs,SFXPowerCustomActionMP_ShieldBoost,SFXPowerCustomActionMP_VolusPassive,SFXPowerCustomActionMP_VolusMeleePassive,500,Qc,ed,Eb,Jd,Ga5
EngineerVolus,SFXPowerCustomActionMP_ReconMine,SFXPowerCustomActionMP_ProximityMine,SFXPowerCustomActionMP_ShieldBoost,SFXPowerCustomActionMP_VolusPassive,SFXPowerCustomActionMP_VolusMeleePassive,501,Kd,lc,Eb,Jd,Ga5
SentinelVolus,SFXPowerCustomActionMP_Decoy_Volus,SFXPowerCustomActionMP_CombatDrone,SFXPowerCustomActionMP_ShieldBoost,SFXPowerCustomActionMP_VolusPassive,SFXPowerCustomActionMP_VolusMeleePassive,505,jd2,vc,Eb,Jd,Ga5
VanguardVolus,SFXPowerCustomActionMP_BioticCharge,SFXPowerCustomActionMP_ShieldBoost,SFXPowerCustomActionMP_BioticOrbs,SFXPowerCustomActionMP_VolusPassive,SFXPowerCustomActionMP_VolusMeleePassive,507,lb,Eb,ed,Jd,Ga5
SoldierVorcha,SFXPowerCustomActionMP_Bloodlust,SFXPowerCustomActionMP_Flamer,SFXPowerCustomActionMP_Carnage,SFXPowerCustomActionMP_VorchaPassive,SFXPowerCustomActionMP_VorchaMeleePassive,278,uc,Bc,Xb,gf,bc
EngineerVorcha,SFXPowerCustomActionMP_BatarianNet_Shared,SFXPowerCustomActionMP_Incinerate,SFXPowerCustomActionMP_Bloodlust_Shared,SFXPowerCustomActionMP_VorchaPassive_Shared,SFXPowerCustomActionMP_VorchaMeleePassive_Shared,509,Sd,tb,uc2,gf2,bc4
SentinelVorcha,SFXPowerCustomActionMP_Bloodlust,SFXPowerCustomActionMP_Flamer,SFXPowerCustomActionMP_BioticGrenade,SFXPowerCustomActionMP_VorchaPassive,SFXPowerCustomActionMP_VorchaMeleePassive,279,uc,Bc,Yb,gf,bc
