Name,Description,Tier,Capstone,Comment,Archetype
It's High Noon,"Hitting three different enemies with Heavy Pistols or SMGs in a short span of time, grants increased movement speed, and aim assist.",1,,"Instead of this effect, lets try to replicate its high noon as an ""ultimate"" ability.

I think we can use SFXModule_AimAssist to maybe even get a High Noon-ish mechanic.",Gunslinger
Shoot from the hip,"Your Heavy Pistols and SMGs have drastically decreased recoil when shot from the hip.
Aiming them reduces rate of fire, but increases precision damage.",2,,,Gunslinger
Love and Peace,Dodging reloads your equipped Heavy Pistols and SMGs. ,2,,,Gunslinger
,,,,,Gunslinger
,,,,,Gunslinger
,,,,,Gunslinger
, ,,,,Gunslinger
,,,,,Gunslinger
Ryder's Party Trick,"Each time you use a Biotic Power, it changes to another Biotic power. Your cooldowns are greatly decreased.",,Yes,"It's a great idea, but it might be a problem to get the icons updated as well.",Anomaly
Somewhat Unlimited Power,"Every second, gain 20% more power damage. Stacks up to 10 times. Stacks reset on power use.",3,,,Anomaly
"Stop Right There, Reaper Scum","Hitting enemies with your powers, has 30% chance of putting them in Stasis.",1,,,Anomaly
Mind Trick,Your offensive powers have 10% chance to make the enemy fight for you,2,,,Anomaly
Focused Mind,Your cooldowns are drastically reduced while near full shield.,2,,,Anomaly
,,3,,,Anomaly
Vampirism,"Using your powers on nearby enemies, recharges a small portion of your shields",2,,,Anomaly
Deflect,Incoming damage is also applied to nearby enemies,1,,,Anomaly
Anomaly,"Using powers builds up Anomaly stacks. Upon reaching 7 stacks, your powers strike with more force, and apply Reave to enemies near target.",1,,,Anomaly
No Man Left Behind,"Damage resistance is greatly increased when reviving allies. 
This effect persists for 5 seconds after the revive, and is applied to the revived ally.
Reviving Allies takes less time.",1,,,Officer
Natural Leader,"Your kills grant increased damage, reload speed and cooldown reduction to nearby allies",1,,,Officer
Anti-Indoctrination,Enemies remaining in your presence have an escalating chance of switching teams. Maximum 3 enemies.,2,,,Officer
Platinum Bundle,"When receiving fatal damage, you are instead healed back to 25% life and gain a brief cloak. Can only occur once per round.",2,,,Officer
Alliance Reinforcements,Gain two permanent Alliance allies,3,,,Officer
VIP Treatment,Gain increased weapon damage and damage reduction for each ally in vicinity,1,,,Officer
Bring It Down!,Enemies targetted by your weapons take additional damage from all sources,2,,Rogue Trader,Officer
Personal Attention,"At the start of each round select an ally to inspire. Inspired allies gain a boost to their statistics. 

Inspired ally gains and provides bonuses of VIP Treatment and Natural leader at any distance. <- TBC might be too complex",3,,Rogue Trader,Officer
Special Tactics,"At the start of each round select one of 3 tactics for the team:
Fervour - Grants drastically increased health and movement speed to all allies.
Press the advantage- Whenever an ally gets a kill, they generate a portion of their ammo and grenades
Last Stand- Rate of Fire and reload speed are drastically increased while all allies stay together. Enemies in close range suffer additional damage.
",,Yes,,Officer
Outlaw,Precision kills greatly decrease reload time.,1,,Destiny 2,Sharpshooter
In The Zone,"Chaining precision kills, increases your weapon damage by 50%. Stacks 10 times and resets after 7 seconds.",2,,,Sharpshooter
Quigley's Bucket Trick,"Your precision hits, stagger enemies around the target.",1,,,Sharpshooter
Controlled Breathing,"Aiming your weapon for a short time without firing, grants increased precision damage.",1,,,Sharpshooter
There is wisdom in these walls,Entering cover grants a brief period of increased precision damage,2,,,Sharpshooter
Death from above,Drastically increase damage inflicted on enemies at lower elevation,3,,,Sharpshooter
Camping is a valid tactic,"If you haven't moved in the last  3 seconds, become cloaked. While cloaked and shortly after, your Sniper Rifles and semi-automatic Assault Rifles do not consume ammo.",,Yes,,Sharpshooter
Steady Aim,"As long as there are no enemies nearby, gain moderate target acquisition",,,,Sharpshooter
Familiar Weight,"Your Sniper rifles and semi-automatic Assault Rifles, do not affect your power cooldowns",3,,,Sharpshooter
Into the Fray,"Killing nearby enemies grants stacks of Fury.
Fury stacks grant following bonuses: 
* 10% Damage Reduction
* 15% Melee Damage Increase
At Max Fury Stacks, your Melee Attacks stagger enemies. Weaker enemies are killed on hit.",1,,Replaces YOU HAVE BIG GUTS.,Vanguard
,,,,,Vanguard
Whips and Chains Excite Me,Melee and Power damage is greatly increased while shield is broken.,,,,Vanguard
The Rorshach Test,Each nearby enemy increases power damage by 20%,,,,Vanguard
Thermaly Conductive Fists,Hitting an enemy with melee partially reloads your equipped weapon.,,,,Vanguard
,,,,,Vanguard
,,,,,Vanguard
,,,,,Vanguard
,,,,,Vanguard
,,,,,
