InfiltratorQuarian,sfxgamempcontent.SFXPowerCustomActionMP_Cloak,sfxgamempcontent.SFXPowerCustomActionMP_StickyGrenade,sfxgamempcontent.SFXPowerCustomActionMP_AIHacking
InfiltratorGeth,sfxgamecontentdlc_con_mp1.SFXPowerCustomActionMP_Cloak_Geth,sfxgamecontentdlc_con_mp1.SFXPowerCustomActionMP_ProximityMine_Geth,sfxgamecontentdlc_con_mp1.SFXPowerCustomActionMP_Supercharge
InfiltratorQuarianMale,sfxgamempcontent.SFXPowerCustomActionMP_Cloak,sfxgamecontentdlc_con_mp2.sfxpowercustomactionmp_damping,sfxgamecontentdlc_con_mp2.SFXPowerCustomAction_EMPGrenade
InfiltratorN7,sfxgamecontentdlc_con_mp3.SFXPowerCustomActionMP_Cloak_N7Infiltrator,sfxgamecontentdlc_con_mp3.SFXPowerCustomActionMP_ElectricSlash,sfxgamecontentdlc_con_mp3.sfxpowercustomactionmp_shadowstrike
N7InfiltratorTurian,sfxgamecontentdlc_con_mp4.SFXPowerCustomActionMP_TurianCloak,sfxgamecontentdlc_con_mp4.SFXPowerCustomActionMP_StimPack,sfxgamempcontent.SFXPowerCustomActionMP_Overload
InfiltratorDrell,sfxgamempcontent.SFXPowerCustomActionMP_Cloak,sfxgamecontentdlc_shared.SFXPowerCustomActionMP_HomingGrenade_Shared,sfxgamecontentdlc_con_mp4.SFXPowerCustomActionMP_ReconMine
InfiltratorAsari,sfxgamecontentdlc_con_mp4.SFXPowerCustomActionMP_AsariCloak,sfxgamecontentdlc_shared.SFXPowerCustomActionMP_DarkChannel2_Shared,sfxgamempcontent.SFXPowerCustomActionMP_Warp
InfiltratorFembot,sfxgamecontentdlc_con_mp5.SFXPowerCustomActionMP_FembotCloak,sfxgamecontentdlc_con_mp5.SFXPowerCustomActionMP_SnapFreeze,sfxgamecontentdlc_con_mp5.SFXPowerCustomActionMP_RepairMatrix
VanguardHumanMale,sfxgamempcontent.sfxpowercustomactionmp_bioticcharge,sfxgamempcontent.SFXPowerCustomActionMP_Shockwave,sfxgamempcontent.SFXPowerCustomActionMP_Discharge
VanguardHumanFemale,sfxgamempcontent.sfxpowercustomactionmp_bioticcharge,sfxgamempcontent.SFXPowerCustomActionMP_Shockwave,sfxgamempcontent.SFXPowerCustomActionMP_Discharge
VanguardDrell,sfxgamempcontent.sfxpowercustomactionmp_bioticcharge,sfxgamempcontent.SFXPowerCustomActionMP_Pull,sfxgamempcontent.SFXPowerCustomActionMP_BioticGrenade
VanguardAsari,sfxgamempcontent.sfxpowercustomactionmp_bioticcharge,sfxgamempcontent.SFXPowerCustomActionMP_Stasis,sfxgamempcontent.SFXPowerCustomActionMP_LiftGrenade
VanguardKrogan,sfxgamecontentdlc_con_mp1.sfxpowercustomactionmp_bioticcharge_krogan,sfxgamecontentdlc_con_mp1.SFXPowerCustomActionMP_Carnage_KroganVanguard,sfxgamecontentdlc_con_mp1.SFXPowerCustomActionMP_Barrier_KroganVanguard
VanguardHumanMaleCerberus,sfxgamempcontent.sfxpowercustomactionmp_bioticcharge,sfxgamecontentdlc_con_mp2.SFXPowerCustomAction_WhipSmash,sfxgamecontentdlc_con_mp2.SFXPowerCustomActionMP_Lash
VanguardN7,sfxgamempcontent.sfxpowercustomactionmp_bioticcharge,sfxgamecontentdlc_con_mp3.SFXPowerCustomActionMP_PalmBlaster,sfxgamecontentdlc_con_mp3.SFXPowerCustomActionMP_SonicSlash
VanguardVolus,sfxgamempcontent.sfxpowercustomactionmp_bioticcharge,sfxgamecontentdlc_con_mp4.SFXPowerCustomActionMP_ShieldBoost,sfxgamecontentdlc_con_mp4.SFXPowerCustomActionMP_BioticOrbs
VanguardBatarian,sfxgamempcontent.sfxpowercustomactionmp_bioticcharge,sfxgamecontentdlc_shared.SFXPowerCustomActionMP_Lash_Shared,sfxgamecontentdlc_shared.SFXPowerCustomActionMP_BatarianArmor_Shared
VanguardTurianFemale,sfxgamecontentdlc_con_mp5.SFXPowerCustomActionMP_LineStrike,sfxgamecontentdlc_con_mp5.SFXPowerCustomActionMP_VenomTippedBlades,sfxgamecontentdlc_con_mp5.SFXPowerCustomActionMP_BioticFocus
